ward_id,ward_name,area_sq_km,centroid_lat,centroid_lon,data_source,snapshot_date,license
141,BIJWASAN,22.9589,28.546019,77.046462,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
142,RAJ NAGAR,0.2343,28.573169,77.082822,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
143,KAPASHERA,21.8233,28.540989,77.086346,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
144,MAHIPALPUR,7.4885,28.535571,77.130272,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
145,PALAM,2.8174,28.584383,77.079993,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
146,SADH NAGAR,0.8047,28.594273,77.095714,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
147,MAHAVIR ENCLAVE,2.3191,28.598864,77.070667,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
148,MADHU VIHAR,1.2253,28.608734,77.05678,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
149,RAJENDER NAGAR,4.3531,28.637749,77.182826,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
15,SARAI PIPAL THALA,1.7533,28.725023,77.161709,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
150,PUSA,9.5061,28.630218,77.161671,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
151,INDER PURI,1.1061,28.630291,77.146963,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
152,NARAINA,1.8838,28.628205,77.138922,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
153,DARYAGANJ,5.1322,28.634312,77.248677,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
154,NIZAMUDDIN,7.3939,28.599201,77.250735,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
155,LAJPAT NAGAR,1.7309,28.5726,77.246702,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
156,BHOGAL,1.35,28.578417,77.255438,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
157,KASTURBA NAGAR,3.0331,28.584155,77.233439,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
158,KOTLA MUBARAKPUR,1.3684,28.5744,77.218923,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
159,ANDREWSGANJ,3.3836,28.566536,77.228338,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
16,JAHANGIRPURI-I,0.5885,28.726527,77.168736,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
160,AMAR COLONY,1.7924,28.563685,77.242003,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
161,MALVIYA NAGAR,5.5551,28.538614,77.193437,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
162,HAUZ RANI,1.0312,28.533246,77.212759,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0
