ward_id,ward_name,area_sq_km,centroid_lat,centroid_lon,data_source,snapshot_date,license,population_estimate_2020,population_density_per_sq_km,population_score,population_density_score,exposure_score,population_raster_valid_pixels,population_year,population_source,population_license,population_method
1,NARELA,20.2717,28.846169,77.112269,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,107464,5301.18,62.94,0.06,25.21,1951,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
10,TIMAR PUR,4.7792,28.699227,77.218765,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,107771,22550.01,63.15,33.08,45.11,479,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
100,KARAM PURA,2.2437,28.665524,77.154462,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,85704,38197.62,48.39,63.04,57.18,227,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
101,RAJA GARDEN,2.217,28.654711,77.123739,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,72850,32859.72,39.79,52.82,47.61,218,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
102,RAGHUBIR NAGAR,0.6231,28.65782,77.113048,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,21070,33814.8,5.15,54.65,34.85,62,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
103,PUNJABI BAGH,3.1322,28.668223,77.126507,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,85113,27173.55,47.99,41.94,44.36,312,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
104,MADIPUR,0.578,28.671289,77.115131,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,15583,26960.21,1.48,41.53,25.51,59,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
105,RAJOURI GARDEN,2.2677,28.643542,77.118254,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,84991,37478.94,47.91,61.66,56.16,227,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
106,TAGORE GARDEN,0.8245,28.645627,77.104598,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,34732,42124.92,14.29,70.56,48.05,84,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
107,VISHNU GARDEN,0.4829,28.648022,77.096521,https://bharatlas.com/view/wards_delhi,2026-05-26,CC-BY-SA-4.0,19980,41375.03,4.42,69.12,43.24,48,2020,https://hub.worldpop.org/geodata/summary?id=41746,CC-BY-4.0,WorldPop 1km density reprojected to 100m; density integrated over ward area
